panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Inflammation	ADA	PT2-PR2	0.09714	0.12917053896370348	10	10	0	0	1
Inflammation	NUDC	PT2-PR2	0.89891	0.12917053896370348	10	10	0	0	2
Inflammation	PON3	PT2-PR2	0.07964	0.12917053896370348	10	10	0	0	1
Inflammation_II	SCGB3A1	PT2-PR2	-0.09419	0.12917053896370348	10	10	0	0	2
Inflammation_II	SSBP1	PT2-PR2	-0.36671	0.12917053896370348	10	10	0	0	1
Oncology	CALCOCO1	PT2-PR2	1.29435	0.12917053896370348	10	10	0	0	2
Oncology	IQGAP2	PT2-PR2	0.885789	0.12917053896370348	10	10	0	0	2
Cardiometabolic_II	RNF5	PT2-PR2	0.51509	0.13083395964939168	10	10	0	0	2
Inflammation	CCL24	PT2-PR2	0.21554	0.13083395964939168	10	10	0	1	1
Inflammation_II	DCTD	PT2-PR2	1.08975	0.13083395964939168	10	10	0	0	2
Inflammation_II	DGKA	PT2-PR2	0.79321	0.13083395964939168	10	10	0	0	2
Inflammation_II	MCEMP1	PT2-PR2	0.70212	0.13083395964939168	10	10	0	0	1
Neurology	CRIP2	PT2-PR2	-0.274067	0.13083395964939168	10	10	0	0	0
Neurology_II	DTX2	PT2-PR2	-0.481612	0.13083395964939168	10	10	0	0	0
Neurology_II	GIGYF2	PT2-PR2	0.926511	0.13083395964939168	10	10	0	0	2
Oncology	INPPL1	PT2-PR2	1.07701	0.13083395964939168	10	10	0	0	2
Neurology_II	OPHN1	PT2-PR2	0.91376	0.131850558170161	10	10	0	0	1
Cardiometabolic_II	LRCH4	PT2-PR2	0.742212	0.13190800444512216	10	10	0	0	1
Inflammation	GMPR	PT2-PR2	0.73575	0.13190800444512216	10	10	0	0	2
Neurology	FRZB	PT2-PR2	0.515456	0.13190800444512216	10	10	0	1	1
Inflammation_II	APCS	PT2-PR2	0.11724	0.13232707130474003	10	10	0	0	1
Neurology	LILRA2	PT2-PR2	0.14092	0.13248994335622813	10	10	0	0	1
Neurology_II	TMEM25	PT2-PR2	-0.3863	0.13248994335622813	10	10	0	0	0
