pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	kegg	0	4	20	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	kegg	0	4	18	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_RASD1_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY	kegg	0	4	27	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_RUNX1_TO_TRANSCRIPTION	kegg	0	4	5	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION	kegg	0	4	9	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	kegg	0	4	40	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	kegg	0	4	40	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_RET_FUSION_KINASE_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	kegg	0	4	36	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	kegg	0	4	19	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_TEL_AML1_FUSION_TO_TRANSCRIPTIONAL_REPRESSION	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_TGFA_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY	kegg	0	6	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	6	19	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	kegg	0	6	23	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY	kegg	0	6	33	7	2920	1.000000e+00	1.000000e+00	
