panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00279	CXCL11	O14625	late-early	22	9.335394090909093	10.137753181818182	-0.8023590909090911	-3.35822436861073	21	0.002975747717614219	0.01880327543304057	
CVD3	OID_gisby_00244	t-PA	P00750	late-early	22	5.143275909090909	5.745473181818182	-0.6021972727272726	-3.3614302576014805	21	0.0029534830678037416	0.01880327543304057	
CVD3	OID_gisby_00195	TIMP4	Q99727	late-early	22	5.453244090909092	4.985773181818182	0.4674709090909092	3.332587854851645	21	0.003159788242026451	0.019134273243382398	
CM	OID_gisby_00025	LTBP2	Q14767	late-early	22	2.7644072727272726	3.086496363636364	-0.3220890909090909	-3.335136621023918	21	0.0031410045305748646	0.019134273243382398	
CVD3	OID_gisby_00187	CSTB	P04080	late-early	22	8.851912272727274	8.565757727272727	0.2861545454545454	3.340703260647066	21	0.003100358203865783	0.019134273243382398	
CVD3	OID_gisby_00184	IL2-RA	P01589	late-early	22	6.001098636363636	5.694151363636364	0.30694727272727285	3.31823858297873	21	0.003267602522625701	0.01951609177896994	
CVD2	OID_gisby_00142	CEACAM8	P31997	late-early	22	7.371016818181816	7.04557681818182	0.32543999999999995	3.274762455430563	21	0.0036166336954051026	0.021083501461769637	
IR	OID_gisby_00356	CNTNAP2	Q9UHC6	late-early	22	2.6539586363636363	2.4206672727272722	0.2332913636363636	3.2735643743383593	21	0.003626749104662208	0.021083501461769637	
CVD2	OID_gisby_00147	MMP7	P09237	late-early	22	10.318345	9.822235454545455	0.4961095454545453	3.2283968643121614	21	0.004028855551842625	0.02281274052731668	
IR	OID_gisby_00433	CD83	Q01151	late-early	22	5.686420909090909	5.443780909090908	0.24263999999999994	3.2312913458584562	21	0.004001835902942341	0.02281274052731668	
IR	OID_gisby_00351	PSIP1	O75475	late-early	22	3.8864895454545447	4.374473636363636	-0.4879840909090909	-3.2225106354552993	21	0.004084351054348678	0.022830475124307997	
In	OID_gisby_00296	TNFSF14	O43557	late-early	22	4.515627272727273	4.942037272727272	-0.4264099999999999	-3.191491147912515	21	0.004389300247168881	0.024224492503362435	
CM	OID_gisby_00077	CCL18	P55774	late-early	22	7.929208181818182	7.405109999999999	0.5240981818181818	3.144011556897162	21	0.004899301624406549	0.026371549484459942	
CVD2	OID_gisby_00164	PD-L2	Q9BQ51	late-early	22	4.350032272727272	4.538808636363637	-0.18877636363636363	-3.1468732582925965	21	0.004867000083866646	0.026371549484459942	
In	OID_gisby_00267	MCP-3	P80098	late-early	22	3.047425909090909	3.9475459090909086	-0.90012	-3.1345770600639873	21	0.00500727167167514	0.026624029864028793	
IR	OID_gisby_00361	CLEC4C	Q8WTT0	late-early	22	3.243278181818182	3.675382727272726	-0.4321045454545454	-3.1287691291285977	21	0.005074880990405539	0.02665841098574476	
CVD2	OID_gisby_00153	PRSS8	Q16651	late-early	22	9.820985454545454	9.714884545454545	0.10610090909090877	3.065786195064515	21	0.005867164983199835	0.030453380150894382	
In	OID_gisby_00348	CSF-1	P09603	late-early	22	10.696633181818182	10.803865454545452	-0.10723227272727262	-3.0567020523206976	21	0.005990871061140934	0.03072964450185232	
CVD3	OID_gisby_00197	CDH5	P33151	late-early	22	3.2292413636363637	3.0736804545454537	0.15556090909090917	3.0473523613161504	21	0.0061208209261309765	0.031031138648757044	
IR	OID_gisby_00407	PIK3AP1	Q6ZUJ8	late-early	22	3.237050454545455	3.6410036363636364	-0.4039531818181819	-3.0384807012392554	21	0.006246638532455995	0.03130499310518177	
CM	OID_gisby_00022	PCOLCE	Q15113	late-early	22	7.1345422727272725	6.82402909090909	0.310513181818182	3.018625628540802	21	0.00653732308916144	0.03238946439629986	
CVD2	OID_gisby_00111	IL-27	Q8NEV9,Q14213	late-early	22	6.778722727272726	7.041375454545454	-0.2626527272727272	-2.9849550952932136	21	0.007060300338843195	0.03458753873860262	
CVD2	OID_gisby_00125	FS	P19883	late-early	22	11.402666363636364	12.039389545454547	-0.6367231818181817	-2.976432694011537	21	0.007198924934108897	0.034874791903016435	
CVD2	OID_gisby_00145	CCL17	Q92583	late-early	22	9.03057590909091	8.306675000000002	0.7239009090909092	2.9699800398315204	21	0.007305620380686717	0.035002752593180315	
CM	OID_gisby_00065	THBS4	P35443	late-early	22	5.152171363636365	5.766964090909091	-0.6147927272727274	-2.9643004798218144	21	0.007400789029987864	0.035073304533420745	
CM	OID_gisby_00050	FCN2	Q15485	late-early	22	4.941296363636364	4.459951818181818	0.4813445454545455	2.9554857858943726	21	0.007550854281938468	0.03539970394543196	
CM	OID_gisby_00007	SERPINA7	P05543	late-early	22	4.598005454545454	4.80922	-0.21121454545454554	-2.9496783203958583	21	0.007651315804436454	0.03548908181632227	
In	OID_gisby_00292	IL18	Q14116	late-early	22	9.837100909090909	10.250098636363639	-0.4129977272727272	-2.9399810599236855	21	0.007821932756295835	0.03589855454468404	
In	OID_gisby_00295	MCP-4	Q99616	late-early	22	14.74344681818182	14.200973181818187	0.5424736363636365	2.929491388378509	21	0.008010601734677936	0.03600641604453175	
IR	OID_gisby_00431	KPNA1	P52294	late-early	22	-0.8348377272727273	-0.5662022727272727	-0.26863545454545457	-2.9337451599201168	21	0.007933572236651587	0.03600641604453175	
IR	OID_gisby_00355	HCLS1	P14317	late-early	22	5.988063636363635	6.397544090909091	-0.40948045454545456	-2.924910129252929	21	0.008094363862162668	0.036008683287897233	
CVD3	OID_gisby_00210	MPO	P05164	late-early	22	3.019848636363636	3.3081636363636364	-0.288315	-2.9204734069659173	21	0.00817628359060052	0.036008683287897233	
CVD3	OID_gisby_00215	CHIT1	Q13231	late-early	22	4.2890381818181815	4.015128181818182	0.2739100000000001	2.903479291359201	21	0.008497477430029932	0.0370490015949305	
CM	OID_gisby_00000	PRCP	P42785	late-early	22	1.5392886363636364	1.3127772727272726	0.2265113636363637	2.8867211337843752	21	0.008826027740457043	0.038100476186527434	
CVD3	OID_gisby_00224	MMP-2	P08253	late-early	22	3.0368809090909092	2.7386927272727277	0.29818818181818174	2.8673566518354345	21	0.00922082087809839	0.039414489243636254	
In	OID_gisby_00310	TRANCE	O14788	late-early	22	4.18631	3.7484268181818177	0.43788318181818175	2.844009398236028	21	0.009719281780666167	0.04096604899807615	
