gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
GP6	10	0.5574999999999999	0.5600505600000008	0.18439121154757457	0.2216675	0.9538150000000001	1.0	1.0	PT1-PR1	1000
GNLY	10	0.15179	0.15084026000000017	0.039719622192557674	0.07529775000000001	0.22702225	1.0	1.0	PT1-PR1	1000
CRYBB1	10	0.59975	0.6003108400000001	0.23823113347556285	0.17822225	1.11957375	1.0	1.0	PT1-PR1	1000
ARF6	10	1.0690000000000002	1.0744405399999994	0.3353858253163533	0.41651475	1.7652959999999998	1.0	1.0	PT1-PR1	1000
SPP1	10	0.22632000000000002	0.2258449599999999	0.04395140542732889	0.14328100000000007	0.3143714999999999	1.0	1.0	PT1-PR1	1000
SPON2	10	0.21269	0.21227736999999985	0.07488441773695582	0.07821225	0.3765322499999999	1.0	1.0	PT1-PR1	1000
TNFRSF11B	10	0.21423	0.2157333099999999	0.050597050768699844	0.1105335	0.3107925	1.0	1.0	PT1-PR1	1000
LRRC37A2	10	0.17125	0.17183869999999996	0.04358596290633572	0.08550700000000004	0.2543655	1.0	1.0	PT1-PR1	1000
TNC	10	0.37021	0.37249671000000034	0.0629153184222099	0.261971	0.5054295	1.0	1.0	PT1-PR1	1000
CHGB	10	-0.28942999999999997	-0.28803133	0.09493498252930241	-0.48010649999999994	-0.10989499999999999	0.0	1.0	PT1-PR1	1000
SDC1	10	0.41807	0.41544460999999966	0.12158787082015415	0.18276999999999996	0.6543519999999998	1.0	1.0	PT1-PR1	1000
PAG1	10	0.28462999999999994	0.28483182000000007	0.11201243235234686	0.08125974999999994	0.513621	1.0	1.0	PT1-PR1	1000
ATP5IF1	10	0.9746899999999998	0.9747527399999997	0.2833824437404561	0.4409792500000001	1.5681492499999998	1.0	1.0	PT1-PR1	1000
CTF1	10	0.5903499999999999	0.5846401199999999	0.1359499495960951	0.3141565	0.84345925	1.0	1.0	PT1-PR1	1000
F2R	10	0.44347999999999993	0.4453055700000001	0.1459014152070998	0.17738400000000001	0.7653920000000001	1.0	1.0	PT1-PR1	1000
VSIR	10	0.44974	0.4460704599999993	0.1236315024351916	0.20421799999999996	0.6781942499999998	1.0	1.0	PT1-PR1	1000
FABP1	10	0.47706	0.4770855300000002	0.13971451106137905	0.23489250000000003	0.759672	1.0	1.0	PT1-PR1	1000
VPS4B	10	0.73471	0.7312118100000011	0.22528716228030432	0.33411500000000005	1.20941725	1.0	1.0	PT1-PR1	1000
CST6	10	0.27103	0.2724034900000001	0.042285632524983456	0.19578399999999999	0.35681725000000003	1.0	1.0	PT1-PR1	1000
MTIF3	10	0.6247199999999999	0.6307441199999995	0.22262766659685396	0.24025900000000006	1.0833135	1.0	1.0	PT1-PR1	1000
RAB2B	10	0.59595	0.6035566800000008	0.18391437352792134	0.27384300000000006	0.9836027499999999	1.0	1.0	PT1-PR1	1000
GPNMB	10	0.27493	0.27392308999999976	0.08422050712607039	0.10834575	0.43446424999999994	1.0	1.0	PT1-PR1	1000
AREG	10	0.19458999999999999	0.19672598000000022	0.03795169732132105	0.12157525	0.26737075	1.0	1.0	PT1-PR1	1000
TIMP4	10	0.47356999999999994	0.47263421000000044	0.057121411803826794	0.35409625	0.5830617499999999	1.0	1.0	PT1-PR1	1000
P4HB	10	0.22458	0.22592227000000004	0.057510395811309394	0.11964325000000002	0.33760499999999993	1.0	1.0	PT1-PR1	1000
APCS	10	0.22879	0.22546714999999987	0.10349649117367583	0.0711865	0.4471549999999999	1.0	1.0	PT1-PR1	1000
