gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
MMP12	23	0.25457521739130423	0.2531052717391301	0.1014037241180001	0.060245163043478094	0.46953647826086936	0.999	0.999	late-early	1000
IL-27	23	-0.2642430434782608	-0.2615759208695651	0.08350753240445867	-0.4357304565217392	-0.10596396739130431	0.001	0.999	late-early	1000
PCOLCE	23	0.3340286956521741	0.3316042582608698	0.09840533193958576	0.1451526086956523	0.5193832282608697	0.999	0.999	late-early	1000
TIMP4	23	0.45739347826086957	0.4618784286956529	0.1359056654563148	0.19615597826086942	0.7333607608695651	0.999	0.999	late-early	1000
THBS4	23	-0.6288660869565218	-0.6171405121739132	0.19728124981711084	-1.0146642173913045	-0.23654178260869574	0.001	0.999	late-early	1000
IL-12B	23	-0.43410391304347845	-0.4350200086956523	0.1674700739773199	-0.7878366086956523	-0.14114014130434807	0.001	0.999	late-early	1000
PD-L2	23	-0.18141739130434786	-0.18060461043478218	0.058324586423127836	-0.29533500000000007	-0.0684591086956522	0.001	0.999	late-early	1000
PRTN3	23	-0.47612391304347823	-0.4726789195652169	0.15254957703170702	-0.7697727282608696	-0.17178443478260877	0.001	0.999	late-early	1000
CHIT1	23	0.23642739130434795	0.24050212173913027	0.0968039575089266	0.06596765217391307	0.4445325000000001	0.998	0.998	late-early	1000
PD-L1	23	-0.24141652173913042	-0.2403229234782605	0.08513153799212458	-0.40490610869565236	-0.07266117391304357	0.002	0.998	late-early	1000
MERTK	23	-0.2427530434782607	-0.24206794391304307	0.08652765455558431	-0.4130519347826086	-0.06020420652173895	0.002	0.998	late-early	1000
KPNA1	23	-0.2628439130434783	-0.2642432243478262	0.08826971418846132	-0.4433220434782609	-0.09820938043478261	0.002	0.998	late-early	1000
THBS2	23	-0.11410173913043471	-0.11476196347826072	0.042502373387668	-0.20053326086956513	-0.03858967391304344	0.002	0.998	late-early	1000
IL-4RA	23	-0.30768391304347825	-0.3074868560869571	0.11309686062268413	-0.5335915869565216	-0.10114879347826106	0.002	0.998	late-early	1000
TNFRSF13B	23	0.29024826086956507	0.2958018469565219	0.09888415991349651	0.11183928260869552	0.4979857608695651	0.997	0.997	late-early	1000
CD6	23	0.19458608695652177	0.19659842739130434	0.06768500258301266	0.07030364130434785	0.3274223369565218	0.997	0.997	late-early	1000
AP-N	23	0.14590260869565225	0.14521688130434768	0.05460948060364591	0.03941715217391314	0.2602828586956521	0.997	0.997	late-early	1000
IL-22 RA1	23	-0.2813547826086956	-0.2841976734782611	0.10619986163329728	-0.5021859239130434	-0.08435679347826089	0.003	0.997	late-early	1000
PRDX5	23	-0.3758230434782609	-0.371831587826087	0.14556286125486662	-0.651677445652174	-0.08752893478260884	0.003	0.997	late-early	1000
APOM	23	0.23094304347826086	0.22946967000000024	0.07711155941321053	0.06685996739130434	0.37577642391304333	0.997	0.997	late-early	1000
CXCL11	23	-0.6918147826086959	-0.6933774399999995	0.24532017423707655	-1.1506271956521736	-0.20931498913043506	0.004	0.996	late-early	1000
C1QTNF1	23	-0.41371391304347827	-0.4204284656521742	0.15230218662482023	-0.7239585760869565	-0.10202329347826092	0.004	0.996	late-early	1000
MMP-2	23	0.28271695652173906	0.28095722478260854	0.10011435224287528	0.0879408152173913	0.485560152173913	0.996	0.996	late-early	1000
PAM	23	-0.1458295652173913	-0.14893115173913038	0.05771620922043368	-0.26307654347826087	-0.036794739130434795	0.004	0.996	late-early	1000
CNDP1	23	-0.21604826086956527	-0.21690952434782648	0.08416227058085402	-0.3850098804347827	-0.0582627282608696	0.004	0.996	late-early	1000
SHPS-1	23	0.12992000000000004	0.13013119913043486	0.05387990059286712	0.02579872826086964	0.2392522826086957	0.996	0.996	late-early	1000
CCL25	23	-0.1174326086956522	-0.11734685913043479	0.05589471184605337	-0.24107407608695658	-0.02046454347826089	0.005	0.995	late-early	1000
IL-17D	23	-0.12786608695652174	-0.12763330000000006	0.05055066799904887	-0.22441283695652176	-0.03111863043478264	0.005	0.995	late-early	1000
NOTCH1	23	-0.14211434782608687	-0.14242684608695605	0.05676320135487464	-0.24988986956521728	-0.029654423913043387	0.005	0.995	late-early	1000
CCL14	23	0.2501543478260869	0.25298114173913033	0.10047561338433295	0.05713732608695639	0.4444093478260869	0.995	0.995	late-early	1000
JUN	23	-0.22475869565217393	-0.22509989869565203	0.09674496779063155	-0.41840400000000005	-0.028290771739130426	0.006	0.994	late-early	1000
EFEMP1	23	-0.15556434782608677	-0.15797322869565186	0.059671830432538084	-0.28020883695652143	-0.036853054347825896	0.006	0.994	late-early	1000
HB-EGF	23	-0.2613034782608694	-0.2618262652173916	0.10626131337922545	-0.48672751086956517	-0.06240055434782595	0.007	0.993	late-early	1000
LILRB1	23	-0.17637086956521744	-0.17652112391304361	0.07693308317234278	-0.33198533695652177	-0.025974054347826295	0.007	0.993	late-early	1000
PTPRS	23	0.08738521739130432	0.08667564391304351	0.03749127836194293	0.017631119565217356	0.1611288152173913	0.993	0.993	late-early	1000
LYVE1	23	0.158095652173913	0.15669966304347832	0.06682820972027839	0.032529010869565084	0.2941665652173913	0.993	0.993	late-early	1000
SRPK2	23	-0.5304517391304348	-0.532844769130435	0.22647602666745595	-0.9786961413043479	-0.09812767391304353	0.007	0.993	late-early	1000
RETN	23	-0.2097634782608696	-0.2073058408695651	0.08775073785462012	-0.3833000434782607	-0.03034939130434769	0.007	0.993	late-early	1000
