perm	module	n	mean_diff	p_value	bh_q
13	4	23	0.0020808110367893746	0.9825707689974241	0.9913152191094383
13	5	23	0.09395072463768116	0.27702180623387695	0.9913152191094383
13	6	23	0.24251265858873855	0.11885702241152818	0.9913152191094383
13	7	23	-0.018776884057970945	0.9044728556029251	0.9913152191094383
13	8	23	-0.08463945652173922	0.6746361793125564	0.9913152191094383
13	9	23	0.043249869565217286	0.4352087094945165	0.9913152191094383
13	10	23	-0.01583054347826087	0.7751826164514759	0.9913152191094383
13	11	23	0.025328344252531193	0.8489995415260674	0.9913152191094383
13	12	23	0.016381608695652198	0.8277189246394347	0.9913152191094383
13	13	23	0.036535130434782424	0.4933009170647189	0.9913152191094383
13	14	23	0.009767217391304305	0.8755649001524151	0.9913152191094383
13	15	23	-0.0006746070234115032	0.9913152191094383	0.9913152191094383
14	1	23	0.04780102766798399	0.495231791837073	0.7428476877556095
14	2	23	-0.13332002173913055	0.06590623465843026	0.34546906256366583
14	3	23	-0.11988180434782603	0.13818762502546633	0.34546906256366583
14	4	23	-0.00640203416149064	0.899280179860827	0.9635144784223145
14	5	23	-0.13756509316770207	0.0890458421781235	0.34546906256366583
14	6	23	-0.08330578595317731	0.6731364559021	0.9179133489574092
14	7	23	-0.28163400000000005	0.0896839926118238	0.34546906256366583
14	8	23	-0.004258107890499103	0.9809505313106133	0.9809505313106133
14	9	23	-0.08211219461697708	0.11899073753857659	0.34546906256366583
14	10	23	0.12677234782608704	0.09386547775919318	0.34546906256366583
14	11	23	-0.008864782608696054	0.8811644508927987	0.9635144784223145
14	12	23	-0.10415451086956508	0.26350794415534917	0.521256509458772
14	13	23	0.06260167846309388	0.31360530491530847	0.5226755081921808
14	14	23	0.016713792270531505	0.8049720970974743	0.9635144784223145
14	15	23	0.09838977834612103	0.2780034717113451	0.521256509458772
15	1	23	0.10820736231884076	0.1474890616532778	0.9284200660585864
15	2	23	-0.05504567287784676	0.6840552593183569	0.9284200660585864
15	3	23	-0.019357312252964415	0.8907240534386001	0.9543472001127858
15	4	23	0.03663266390614219	0.7414187557415932	0.9284200660585864
15	5	23	0.02968605978260881	0.7033668557162471	0.9284200660585864
15	6	23	0.06464091304347823	0.09700169583115215	0.9284200660585864
15	7	23	0.08722119565217401	0.48342752489731966	0.9284200660585864
15	8	23	0.01819079710144917	0.7515588826936346	0.9284200660585864
15	9	23	-0.1723026602800295	0.3143596336935759	0.9284200660585864
15	10	23	0.015849219001610425	0.7631256794524126	0.9284200660585864
15	11	23	0.02870447826086949	0.7411314201164259	0.9284200660585864
